Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-21819.23	-21813.08	-6.152143	9.901754e+07	0.096045	0.14869	0.103225	0.0566093	0.10347	0.129036	0.168722	0.0776943	0.119265	0.09838	0.169271	0.0990253	0.104413	0.142122	0.130395	0.0747131	0.101467	0.113737	0.153362	0.168277	0.185029	0.108155	0.236004	0.0632813	0.0208729	0.0240108	0.0333841	0.0201534	0.0190937	0.0581554	0.0751803	0.0964252	0.143841	0.0564251	0.00607112	0.0733578	0.10522	0.0301502	0.0257368	0.0412753	0.0438726	0.0359938	0.0603732	0.104467	0.315284	0.0739652	0.0253445	0.451419	0.0295199	0.999872	0.999968	1.00003	1.00013	0.298848	0.303763	0.124064	0.273325	0.4118433	3.919979
210	-21813.73	-21807.93	-5.795288	8.54593e+07	0.0918676	0.121072	0.125133	0.0820806	0.0786385	0.114541	0.18909	0.0763535	0.109116	0.110703	0.178185	0.119993	0.134645	0.146179	0.126173	0.0784329	0.0964757	0.113737	0.117038	0.132396	0.189388	0.130492	0.23489	0.0604708	0.0176532	0.0398623	0.0321171	0.0176577	0.0404288	0.0663662	0.0614934	0.0798713	0.151259	0.0346165	0.0280003	0.0739676	0.0917231	0.02322	0.0190556	0.0230045	0.0495352	0.0277194	0.0496522	0.108306	0.309892	0.0728982	0.0246519	0.463328	0.0209234	0.999863	0.999965	1.00003	1.00014	0.305167	0.304781	0.129395	0.260657	0.3957451	3.884294
220	-21817.88	-21812.51	-5.364319	6.736408e+07	0.0992284	0.106596	0.10377	0.0807651	0.127457	0.115692	0.163142	0.0928857	0.117261	0.0806774	0.163896	0.118144	0.100752	0.149938	0.126173	0.0723207	0.0861369	0.11355	0.142834	0.185189	0.188555	0.114026	0.211625	0.0596228	0.0137077	0.0186926	0.0263756	0.0179083	0.0301304	0.0663662	0.0713609	0.0672229	0.159042	0.0397797	0.0273781	0.0668301	0.128554	0.00772644	0.0425242	0.039864	0.041738	0.0226784	0.0330791	0.108623	0.310797	0.0731111	0.0206036	0.464682	0.0221835	0.999845	0.99996	1.00004	1.00016	0.312411	0.295966	0.126108	0.265515	0.4115166	3.841197
230	-21813.35	-21809.54	-3.810191	5.771453e+07	0.0909851	0.0930006	0.109288	0.0544036	0.101623	0.157431	0.155475	0.08296	0.128529	0.0883204	0.154094	0.122648	0.105699	0.131196	0.12727	0.0786276	0.0828147	0.11355	0.126876	0.143844	0.211016	0.115543	0.212727	0.0467154	0.0227234	0.0262496	0.0227247	0.0252541	0.0409237	0.0343543	0.0592819	0.0939445	0.135811	0.0382364	0.0250403	0.0549698	0.101834	0.0115001	0.010202	0.0392481	0.0408401	0.0248101	0.0432007	0.108645	0.30359	0.0731817	0.0241155	0.46513	0.025338	0.999833	0.999958	1.00004	1.00017	0.309168	0.293627	0.133788	0.263417	0.4115166	3.685784
240	-21819.61	-21813.48	-6.129812	5.985468e+07	0.116639	0.101	0.109697	0.0892142	0.0969353	0.124925	0.172586	0.0844124	0.118452	0.121876	0.138347	0.123423	0.115233	0.13666	0.135568	0.0795313	0.0730166	0.126433	0.126753	0.151964	0.194877	0.115543	0.264879	0.0555061	0.0303388	0.0168533	0.0232573	0.0146163	0.0415322	0.0598336	0.0863037	0.0721217	0.155622	0.0328506	0.0315116	0.0563904	0.126408	0.0164666	0.0270025	0.0468955	0.0371422	0.0353952	0.0337373	0.097293	0.309299	0.0707366	0.0298902	0.46556	0.0272215	0.999836	0.999958	1.00004	1.00016	0.295945	0.314209	0.13131	0.258537	0.4065104	3.917746
250	-21825.53	-21819.08	-6.452589	9.056997e+07	0.0959101	0.123857	0.110102	0.0622917	0.114231	0.135265	0.186933	0.0954765	0.122797	0.0801933	0.15639	0.109601	0.115233	0.14235	0.143624	0.0841666	0.091871	0.134859	0.130052	0.148036	0.196848	0.131306	0.250018	0.06959	0.0252036	0.0312394	0.0230599	0.0340576	0.0241688	0.0560398	0.0684585	0.0620846	0.143696	0.0460242	0.0202957	0.0707768	0.121059	0.0075344	0.0387076	0.0387417	0.0607106	0.0183212	0.0288451	0.0918449	0.271431	0.0835951	0.0321735	0.493771	0.0271843	0.999866	0.999966	1.00003	1.00013	0.317101	0.311841	0.122611	0.248447	0.3998136	3.950024
260	-21826.35	-21820.17	-6.185266	9.357029e+07	0.0867623	0.121411	0.111799	0.0989425	0.0908344	0.132291	0.185637	0.0926413	0.138648	0.0787376	0.151707	0.1026	0.130226	0.127188	0.136871	0.0772796	0.0988786	0.124913	0.14383	0.133669	0.203012	0.1368	0.187333	0.06804	0.0264286	0.0180337	0.0384157	0.0357147	0.0206764	0.0675054	0.101767	0.0816249	0.16862	0.0349953	0.0297638	0.0694042	0.0919427	0.0191084	0.0260081	0.0201237	0.0706226	0.0129909	0.0294965	0.0916172	0.312061	0.0792982	0.0243318	0.46839	0.0243016	0.999868	0.999967	1.00003	1.00013	0.32012	0.303755	0.125314	0.250812	0.4052213	3.923292
270	-21821.2	-21816.08	-5.119054	9.047262e+07	0.0955896	0.100287	0.10539	0.0792792	0.112016	0.114054	0.154005	0.0981994	0.107113	0.119456	0.155126	0.10788	0.100108	0.135803	0.141735	0.0603386	0.0998989	0.135323	0.108902	0.153718	0.177884	0.102098	0.222148	0.0576665	0.0233367	0.0322207	0.0270729	0.0118324	0.0446754	0.0671487	0.0749046	0.0847302	0.163107	0.0334264	0.0537979	0.0653785	0.112787	0.0108259	0.0120942	0.0331103	0.0459914	0.0375626	0.038648	0.0909032	0.320894	0.0786802	0.0182329	0.46474	0.0265496	0.999867	0.999966	1.00003	1.00013	0.320035	0.305185	0.12528	0.2495	0.4052213	3.81667
280	-21814.57	-21808.84	-5.737256	9.747321e+07	0.0995114	0.102366	0.101105	0.0733297	0.0975458	0.131847	0.187902	0.0937275	0.103365	0.139212	0.179547	0.103627	0.0998052	0.138855	0.140109	0.0898168	0.0862423	0.128403	0.118868	0.135783	0.197978	0.0939598	0.249064	0.0569959	0.0264007	0.0358465	0.0240622	0.0175816	0.0268996	0.0540982	0.0749046	0.104709	0.141611	0.0456608	0.0163394	0.0669318	0.112787	0.0159256	0.0146411	0.027158	0.0531486	0.0258445	0.0449748	0.0931704	0.300694	0.0758209	0.0208025	0.475509	0.0340029	0.999871	0.999966	1.00003	1.00013	0.312835	0.304983	0.126726	0.255456	0.4111552	3.878491
290	-21812.84	-21807.78	-5.057487	8.972271e+07	0.0901944	0.103517	0.102746	0.062693	0.0845567	0.123548	0.158968	0.089246	0.124001	0.0984579	0.175482	0.118224	0.122764	0.132066	0.135915	0.0673222	0.0966095	0.105856	0.113727	0.148212	0.190231	0.116819	0.223406	0.0554006	0.0327009	0.035282	0.0221632	0.0272974	0.0406206	0.0527878	0.0661009	0.104616	0.137737	0.0432486	0.00971617	0.0700133	0.124197	0.0303999	0.0159703	0.0379796	0.0510751	0.0208509	0.0477957	0.109425	0.287745	0.0725556	0.0248831	0.483862	0.0215299	0.999866	0.999965	1.00003	1.00013	0.315192	0.303672	0.126182	0.254954	0.4165036	3.810514
300	-21814.99	-21809.15	-5.842372	9.234047e+07	0.0900085	0.108718	0.121809	0.071376	0.089199	0.115306	0.19601	0.109063	0.112178	0.0984885	0.165419	0.100672	0.128003	0.134804	0.143454	0.0895532	0.106044	0.127211	0.132124	0.124381	0.199818	0.106604	0.215957	0.0507815	0.0171102	0.0307149	0.0261861	0.0123409	0.0343516	0.060546	0.0773233	0.127238	0.16159	0.0451114	0.0232694	0.06142	0.110542	0.0186126	0.00957461	0.0195416	0.0328746	0.035003	0.0486712	0.105237	0.302779	0.0711085	0.0269876	0.473574	0.0203137	0.999868	0.999966	1.00003	1.00013	0.313079	0.294082	0.122114	0.270725	0.4165036	3.889002
