Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15807.48	-15820.07	12.58994	0.136165	0.126896	0.101189	0.103283	0.111017	0.0860351	0.127658	0.0874992	0.0993249	0.167763	0.0920931	0.076394	0.092829	0.107115	0.100937	0.104503	0.105567	0.107412	0.127648	0.0960276	0.0954124	0.0954072	0.175158	0.0373867	0.0312236	0.0270603	0.0410048	0.0194135	0.0221166	0.0475492	0.0131387	0.0487122	0.0314585	0.0843392	0.0542865	0.0193561	0.0311806	0.0345683	0.0249257	0.0319547	0.0255549	0.0474697	0.033881	3.229914
21	1	-15814.44	-15826.65	12.20957	0.140878	0.121403	0.091639	0.101757	0.116167	0.0875621	0.102608	0.076773	0.0980565	0.170287	0.0830456	0.0714902	0.0979478	0.0853634	0.0970912	0.11879	0.122761	0.105036	0.157164	0.0916267	0.104111	0.0859511	0.148306	0.0292701	0.0171262	0.0427484	0.0279447	0.0437243	0.0353728	0.0316954	0.0345445	0.0390308	0.0574562	0.0252768	0.00894082	0.0386773	0.118355	0.0479544	0.0208178	0.019332	0.0651684	0.0466523	0.0420478	3.267951
22	0	-15804.92	-15817.75	12.83402	0.142633	0.10357	0.0936651	0.103542	0.103865	0.0879254	0.0949589	0.0874992	0.0960755	0.174048	0.086004	0.0700588	0.102269	0.100854	0.103464	0.115863	0.118909	0.107251	0.145508	0.0778896	0.0811797	0.090877	0.174109	0.039799	0.0290771	0.0219556	0.0368612	0.0442548	0.0217491	0.0312601	0.0147372	0.0378339	0.0223353	0.0935325	0.056467	0.0281269	0.0241951	0.0528238	0.0279162	0.0355407	0.0257139	0.0473522	0.0519556	3.205506
23	1	-15808.64	-15822.26	13.62746	0.147905	0.102974	0.0848098	0.0846727	0.119876	0.0853756	0.123558	0.0706052	0.0980565	0.161863	0.0657771	0.0843373	0.0979478	0.07951	0.0875476	0.132903	0.129932	0.146001	0.117903	0.0828345	0.0839382	0.067294	0.163538	0.0195762	0.0365172	0.0367025	0.0258336	0.0447211	0.0384469	0.033785	0.0252215	0.0334753	0.072644	0.0231853	0.0129418	0.0252773	0.078361	0.0342033	0.0252687	0.0247374	0.0355278	0.0326701	0.0479058	3.126162
24	0	-15808.06	-15820.59	12.53309	0.133069	0.0985042	0.105892	0.11242	0.110002	0.0808422	0.130925	0.057993	0.093498	0.149793	0.086004	0.0784066	0.0999451	0.0876864	0.117965	0.136387	0.147025	0.108966	0.137142	0.082427	0.0983303	0.0884256	0.150559	0.0308657	0.0415123	0.0165542	0.0224832	0.0237541	0.0421396	0.0564876	0.0182046	0.0404451	0.0244223	0.123986	0.0376801	0.0237635	0.0168691	0.0340305	0.0350789	0.0397368	0.0299192	0.0487838	0.036675	3.235599
25	1	-15804.66	-15817.54	12.87352	0.178833	0.106004	0.107149	0.0843189	0.105961	0.103856	0.119949	0.0714188	0.0996989	0.161863	0.0838172	0.0876201	0.100067	0.0900057	0.0953418	0.12341	0.133072	0.137962	0.110488	0.0750773	0.0812618	0.0925802	0.1754	0.0322195	0.0239767	0.0352333	0.0274566	0.0413715	0.032148	0.0284466	0.0294951	0.0226398	0.0510069	0.032439	0.0185155	0.0257461	0.077916	0.0332138	0.0160794	0.0168378	0.0499196	0.0408086	0.0409315	3.201556
26	0	-15806.5	-15819.17	12.67958	0.133069	0.0968246	0.0994129	0.0896944	0.110002	0.0893068	0.118125	0.0610601	0.100251	0.140758	0.0758268	0.0845811	0.0850109	0.111669	0.118761	0.148325	0.138912	0.119002	0.124144	0.0709791	0.0733525	0.0874976	0.169708	0.0552263	0.0355086	0.00966007	0.0366444	0.015038	0.0315943	0.0397551	0.0226097	0.0638029	0.0252081	0.0972322	0.0425437	0.0278567	0.0268388	0.0512743	0.0267971	0.0325089	0.0333025	0.0555886	0.0456874	3.22095
27	1	-15805.08	-15818.31	13.23015	0.136334	0.10254	0.0936097	0.086884	0.118918	0.0913427	0.145205	0.0709338	0.0953404	0.190952	0.0685975	0.0897127	0.090786	0.0801874	0.119006	0.125585	0.13403	0.100142	0.101665	0.0638771	0.0824791	0.0946666	0.163893	0.0250988	0.0117595	0.031359	0.0253525	0.053246	0.0435941	0.0212277	0.0299955	0.0348431	0.0531304	0.0322057	0.0182572	0.0215544	0.0988522	0.0441877	0.0349907	0.0217119	0.0424023	0.0326157	0.0428214	3.165893
28	0	-15822.64	-15835.05	12.41293	0.111133	0.115074	0.0761451	0.0993998	0.121747	0.0608799	0.118125	0.0580195	0.0814814	0.174467	0.0673962	0.092218	0.109892	0.0762319	0.120183	0.122745	0.172638	0.111482	0.142856	0.0678672	0.0967911	0.107015	0.17457	0.0285121	0.0387302	0.0258664	0.0275438	0.0125589	0.0199764	0.0539403	0.0247155	0.0583911	0.0194704	0.0972322	0.0541	0.0237203	0.0223222	0.0527622	0.0428683	0.0471846	0.0323354	0.0552126	0.0318144	3.247615
29	1	-15806.63	-15818.93	12.30126	0.130384	0.100242	0.110712	0.0960049	0.118543	0.0888889	0.139894	0.0686248	0.0802765	0.188124	0.0751742	0.0838703	0.112543	0.0873109	0.093779	0.114543	0.13403	0.115809	0.1215	0.0858778	0.0934433	0.0898021	0.181364	0.0360776	0.0297161	0.0372404	0.0352484	0.0463975	0.024308	0.0307493	0.0318635	0.022193	0.0587304	0.0385812	0.0266419	0.0434693	0.0990823	0.0253715	0.0209699	0.00961414	0.0378188	0.031081	0.0628864	3.258782
