Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
200	-15800.46	-15813.24	12.77512	0.11623	0.102348	0.11673	0.10513	0.109731	0.0660699	0.120449	0.0744352	0.104763	0.174023	0.0825797	0.101592	0.0909847	0.0988805	0.128039	0.133031	0.125592	0.112311	0.129135	0.0789134	0.0836531	0.0937278	0.189472	0.0199725	0.0256302	0.0347728	0.0311574	0.0544966	0.0323056	0.0323562	0.0221568	0.019678	0.0477494	0.0218916	0.0131782	0.0289179	0.0783464	0.0478068	0.00663701	0.0196731	0.0395018	0.0488872	0.0484617	3.211396
210	-15804.43	-15816.89	12.46565	0.136643	0.132924	0.122305	0.0773913	0.11744	0.078414	0.114354	0.0943342	0.092716	0.165067	0.0708908	0.0801501	0.098331	0.0946738	0.120569	0.119705	0.12893	0.10588	0.132394	0.0571737	0.0940698	0.0839946	0.181858	0.0213072	0.0267933	0.0414101	0.028015	0.0440735	0.0406945	0.0278931	0.0198296	0.0305246	0.0529863	0.02589	0.0144484	0.0226621	0.0999547	0.0503974	0.0276631	0.0219236	0.0514058	0.0411236	0.0531379	3.242343
220	-15797.6	-15810.42	12.82772	0.124489	0.103325	0.10324	0.0903135	0.114531	0.0990625	0.119117	0.0826595	0.106368	0.175034	0.0806822	0.0852028	0.0887461	0.082797	0.108505	0.11797	0.123212	0.113161	0.128647	0.0887642	0.0847495	0.0871384	0.175541	0.01463	0.0169618	0.031576	0.031706	0.0425977	0.0317704	0.0294244	0.0233994	0.0269487	0.0547818	0.0266227	0.0343273	0.0388118	0.0949495	0.0400483	0.0294982	0.0148057	0.0617371	0.0291738	0.0491107	3.206136
230	-15797.05	-15809.61	12.55821	0.142474	0.0954933	0.098122	0.101245	0.114531	0.0824056	0.119055	0.0889962	0.10282	0.172027	0.0730388	0.0894415	0.0925734	0.0975047	0.106137	0.143417	0.114126	0.113195	0.131019	0.0695103	0.107147	0.0757134	0.1583	0.0156266	0.0307423	0.0344807	0.032405	0.0497871	0.0262245	0.0407991	0.0274727	0.0279677	0.0503057	0.0292891	0.0330084	0.0231987	0.10513	0.0468303	0.0237601	0.00974249	0.0564839	0.0316936	0.0498474	3.233087
240	-15804.49	-15816.69	12.20017	0.131182	0.0878271	0.098122	0.0955036	0.0964179	0.0876982	0.12623	0.0807891	0.109067	0.163155	0.0734023	0.0699184	0.107764	0.103215	0.123903	0.123983	0.131074	0.127739	0.136527	0.0866737	0.102557	0.0773278	0.2025	0.0280662	0.038473	0.0343966	0.0302706	0.041125	0.0167821	0.0402256	0.0174	0.0222181	0.0402218	0.0200074	0.0319707	0.0269404	0.106055	0.0510579	0.0120663	0.0174908	0.0501046	0.036355	0.0650882	3.268891
250	-15809.28	-15822.44	13.15438	0.131853	0.0732835	0.098122	0.0955036	0.139188	0.0783813	0.140165	0.0690294	0.0991032	0.152775	0.0731721	0.0742734	0.0944137	0.0743599	0.115229	0.122802	0.135192	0.114075	0.122171	0.0893671	0.0901071	0.0881792	0.156304	0.0463437	0.0230673	0.0546773	0.0447135	0.049907	0.0177062	0.0369816	0.02435	0.0431763	0.0428681	0.0188067	0.0338636	0.0323618	0.0842908	0.0479467	0.0146447	0.0143115	0.037842	0.0335675	0.0449953	3.17347
260	-15808.29	-15820.16	11.87144	0.110689	0.0891391	0.117655	0.116522	0.110359	0.0779067	0.120401	0.0820336	0.0871539	0.150675	0.0800916	0.0863595	0.101068	0.0845258	0.133099	0.154958	0.130475	0.145594	0.12653	0.0708748	0.0938724	0.0989532	0.165822	0.0266431	0.0373521	0.0372667	0.0399335	0.049717	0.0448288	0.0326421	0.020856	0.0330883	0.0641104	0.0321421	0.0196126	0.035982	0.0774543	0.0479467	0.0267816	0.0212024	0.0431999	0.0362709	0.039975	3.301764
270	-15805.08	-15817	11.91723	0.133226	0.0926617	0.114503	0.0965651	0.111201	0.0790586	0.146147	0.0776879	0.0921229	0.204502	0.076931	0.0963717	0.0940861	0.114757	0.115389	0.120435	0.114077	0.104627	0.117002	0.0951216	0.085407	0.0964108	0.189499	0.0244716	0.0271345	0.0282478	0.0442851	0.0486674	0.0291206	0.0314752	0.0313268	0.032008	0.045955	0.0296336	0.0222144	0.0314044	0.0807143	0.0462323	0.0152502	0.0100863	0.0545529	0.0387381	0.0578757	3.297185
280	-15806.02	-15818.97	12.95469	0.133226	0.0930865	0.0980325	0.0720718	0.121918	0.0827086	0.123479	0.0641644	0.0847941	0.185862	0.0812254	0.0881632	0.10155	0.101517	0.0881646	0.138914	0.116165	0.0952203	0.145058	0.0819646	0.0973699	0.0745987	0.189499	0.0236828	0.0309575	0.0269724	0.0238234	0.0553177	0.0315148	0.0427425	0.0390741	0.0254985	0.0586756	0.0298118	0.0345066	0.0298892	0.0800123	0.0377698	0.0119719	0.0203383	0.0447557	0.0411082	0.0462631	3.193439
290	-15804.43	-15817.32	12.89251	0.120072	0.103773	0.0995018	0.0873193	0.125679	0.0697022	0.135058	0.0868472	0.107416	0.163416	0.0782004	0.0899129	0.090682	0.0939932	0.096528	0.138914	0.117685	0.128161	0.134524	0.0645209	0.0798471	0.0799231	0.179224	0.0239599	0.0342641	0.0306012	0.0324826	0.0583283	0.00959412	0.0316117	0.0191043	0.0377604	0.0508394	0.0284522	0.0288555	0.0285233	0.0821399	0.0544074	0.00755548	0.017305	0.0629906	0.0435084	0.0464733	3.199657
